UNITID,F1A13,F1A18,F1B25,I       
136516,6736865,74759274,57464739,
136659,,,3554345,
136765,,,6090576,
136826,,,3386453,
137023,,,12546516,
137078,55909854,310061031,195064062,
137087,,,11171794,
137096,108747631,123504675,103046947,
137120,,,19444681,
137209,18320525,184322495,112821183,
137245,,,11884947,
137281,4623108,67672709,41427331,
137315,3486745,75349321,34297677,
137351,329103325,1063630190,1022274891,
137713,,,1877273,
137759,30105257,133540169,120278568,
137856,,,2557926,
137865,,,5751525,
138187,18818504,246917237,220296754,
138284,,,6235488,
138354,24055792,215795540,155893619,
138372,,,10603334,
138479,,,3743634,
138488,,,9310902,
138497,,,5503744,
138558,51970968,31041238,40735580,
138682,1849372,22220231,32765086,
138691,6016094,41566779,46040467,
138716,38393551,97723159,68127768,
138789,83766371,65642541,87220944,
138840,1993344,15382383,33679069,
138901,2525201,15543874,25598269,
138956,1927675,34017427,31123411,
138983,40575473,79705720,74986612,
139010,4136319,36760933,30234040,
139250,2543104,36334227,30050799,
139278,2988430,54692559,49647234,
139311,52703426,64011309,75652553,
139357,1563627,15902973,24732265,
139366,72604792,83318369,95469878,
139384,5077884,35470499,46055053,
139463,9686120,28675407,42690428,
139621,2098848,21976117,19953067,
139700,3304695,41796308,32525100,
139719,72412053,64525276,90768455,
139746,,,587399,
139755,667885837,1156377293,1158535551,
139764,45877442,44778187,40041278,
139773,17327924,41423016,55333567,
139861,121890998,65550888,103234005,
139904,11036050,44028780,51159385,
139931,210668112,297062797,270898234,
139940,388295121,504479206,614415443,
139959,399183165,1423241715,1258613044,
139968,37740818,37753393,39443958,
139986,1941258,22588815,36375817,
140012,6703260,37327585,48043821,
140076,1093235,22246809,15156465,
140085,1565483,21628436,23083051,
140164,156983680,171184800,265630604,
140243,3765734,26175006,37757960,
140304,1669332,36574423,43652544,
140322,6311464,80302171,55012987,
140331,5461366,72436472,85703201,
140401,151729868,337146810,614145830,
140483,66212997,76742871,45697153,
140599,1802707,31301045,19565794,
140669,53088457,87923387,70934556,
140678,1714545,31154484,25236079,
140942,2157321,44930482,50579866,
140960,58750029,75748255,70401227,
140997,17273654,12469204,18877502,
