UNITID,EFYTOTLT
115393,16837
115409,768
115409,768
115454,1888
115454,1888
115472,2623
115472,2623
115490,2309
115490,2309
115515,2074
115515,2074
115533,2467
115533,2467
115658,258
115658,258
115728,1383
115728,802
115728,581
115746,722
115746,722
115755,8237
115755,7541
115755,696
115773,1291
115773,1095
115773,196
115861,11346
115861,11346
115931,906
115931,906
116040,1762
116040,1762
116226,510
116226,510
116350,149
116350,149
116439,24004
116439,24004
116466,2616
116466,2616
116475,1703
116475,1703
116484,1997
116484,1997
116563,192
116563,192
116624,156
116624,156
116712,2039
116712,336
116712,1703
116846,257
116846,118
116846,139
117052,21586
117052,21586
117104,602
117104,602
117113,2876
117113,2876
117140,9733
117140,5029
117140,4704
117168,444
117168,407
117168,37
117195,6492
117195,6492
117238,219
117238,219
117247,22589
117247,22589
117274,4893
117274,4893
117520,449
117520,449
117557,662
117557,201
117557,461
117575,250
117575,91
117575,159
117627,2595
117627,1786
117627,809
117636,5014
117636,1439
117636,3575
117645,39919
117645,39919
117672,534
117672,534
117690,15232
117690,15232
117706,32042
117706,32042
117715,12253
117715,12253
117724,24777
117724,24777
117733,29681
117733,29681
117751,1669
117751,1107
117751,562
117788,31134
117788,31134
117803,394
117803,394
117867,16660
117867,16660
117894,16606
117894,16606
117928,2092
117928,2075
117928,17
117946,9934
117946,6195
117946,3739
117955,263
117955,263
118116,181
118116,181
118125,149
118125,149
118134,262
118134,262
118143,114
118143,114
118161,182
118161,182
118189,235
118189,235
118198,912
118198,912
118259,1211
118259,1211
118277,2189
118277,2189
118286,2073
118286,2073
118347,11111
118347,11111
118356,3973
118356,3973
118541,662
118541,662
118684,7378
118684,7378
118693,704
118693,704
118709,166
118709,166
118718,14960
118718,14960
118772,12402
118772,12402
118888,1635
118888,1008
118888,627
118912,21160
118912,21160
118921,642
118921,642
118930,17615
118930,17615
118958,90
118958,90
118967,1898
118967,1898
118976,24941
118976,24941
118994,51
118994,51
119058,947
119058,12
119058,935
119067,16602
119067,16602
119137,25058
119137,25058
119164,38741
119164,38741
119173,2954
119173,2346
119173,608
119216,23960
119216,23960
119234,269
119234,269
119270,2308
119270,2308
119331,10674
119331,10674
119340,1090
119340,1090
119359,1828
119359,1828
119368,1121
119368,1121
119438,1101
119438,1101
119456,1680
119456,1680
119465,1329
119465,1329
119508,2144
119508,2144
119544,736
119544,478
119544,258
119553,759
119553,759
119605,27332
119605,9739
119605,17593
119678,3854
119678,3854
119775,715
119775,432
119775,283
119845,335
119845,335
119951,581
119951,581
120069,502
120069,502
120078,888
120078,888
120087,273
120087,273
120166,1503
120166,282
120166,1221
120184,2014
120184,1049
120184,965
120254,2064
120254,2034
120254,30
120272,196
120272,196
120290,17499
120290,17499
120342,33303
120342,33303
120403,1299
120403,1197
120403,102
120421,13385
120421,13385
120537,1289
120537,850
120537,439
120661,959
120661,959
120698,574
120698,66
120698,508
120740,173
120740,173
120768,715
120768,131
120768,584
120795,213
120795,213
120838,241
120838,59
120838,182
120865,1680
120865,1649
120865,31
120883,6974
120883,3710
120883,3264
120944,361
120944,361
120953,5622
120953,5622
120971,40897
120971,40897
121008,374
121008,374
121017,489
121017,489
121044,37652
121044,37652
121071,1429
121071,1350
121071,79
121150,8476
121150,3639
121150,4837
121257,1069
121257,1069
121275,323
121275,323
121309,4230
121309,2490
121309,1740
121345,1570
121345,1570
121363,6553
121363,6553
121381,1349
121381,1349
121433,231
121433,231
121619,48552
121619,48552
121628,115
121628,115
121637,79
121637,79
121691,5301
121691,2992
121691,2309
121707,11177
121707,11177
121859,252
121859,252
121868,125
121868,125
121877,204
121877,204
121886,36272
121886,36272
121901,54751
121901,54751
121983,1224
121983,175
121983,1049
121992,277
121992,277
122117,233
122117,233
122180,40786
122180,40786
122205,36180
122205,36180
122296,1784
122296,898
122296,886
122339,30010
122339,30010
122366,508
122366,508
122375,38806
122375,38806
122384,21822
122384,21822
122409,34997
122409,28366
122409,6631
122436,8819
122436,5397
122436,3422
122454,678
122454,419
122454,259
122506,428
122506,211
122506,217
122597,32912
122597,27422
122597,5490
122603,441
122603,441
122612,10689
122612,6339
122612,4350
122649,212
122649,212
122658,27366
122658,27366
122685,2374
122685,2374
122694,1668
122694,1668
122728,720
122728,695
122728,25
122746,18855
122746,18855
122755,33109
122755,25516
122755,7593
122791,18615
122791,18615
122834,1520
122834,1520
122843,12863
122843,12543
122843,320
122852,520
122852,520
122889,28763
122889,28763
122931,9883
122931,5473
122931,4410
122977,49586
122977,49586
123013,37533
123013,37533
123095,754
123095,754
123165,998
123165,974
123165,24
123208,3296
123208,3296
123217,19360
123217,19360
123280,75
123280,56
123280,19
123299,14740
123299,14740
123341,28583
123341,28583
123350,216
123350,216
123396,246
123396,246
123448,190
123448,190
123457,1380
123457,1073
123457,307
123484,5571
123484,5571
123493,2042
123493,2042
123509,17419
123509,17419
123527,22980
123527,22980
123554,4263
123554,2660
123554,1603
123563,18688
123563,18688
123572,8972
123572,7657
123572,1315
123581,187
123581,187
123633,870
123633,423
123633,447
123642,570
123642,570
123651,2699
123651,2372
123651,327
123679,861
123679,861
123800,28784
123800,28784
123855,95
123855,95
123916,81
123916,81
123943,497
123943,497
123952,493
123952,255
123952,238
123961,38860
123961,18316
123961,20544
123970,1155
123970,1155
124113,14587
124113,14587
124283,466
124283,466
124292,348
124292,348
124344,280
124344,280
124487,363
124487,363
124681,13417
124681,13417
124706,979
124706,979
124779,39
124779,39
124937,802
124937,802
125028,22942
125028,22942
125082,257
125082,257
125091,19431
125091,19431
125170,12161
125170,12161
125231,63875
125231,10726
125231,53149
125301,5972
125301,5972
125462,4778
125462,4778
125471,18188
125471,18188
125480,296
125480,296
125499,20215
125499,20215
125532,2690
125532,2690
125718,150
125718,150
125727,1367
125727,1359
125727,8
125763,2266
125763,1410
125763,856
125897,2083
125897,1572
125897,511
126012,423
126012,423
126030,465
126030,465
126049,1074
126049,1074
126076,132
126076,132
126119,12375
126119,12375
126164,141
126164,141
126182,3836
126182,2906
126182,930
126207,8258
126207,8258
126289,16833
126289,16833
126359,901
126359,901
126401,1640
126401,1640
126410,232
126410,232
126562,32606
126562,17452
126562,15154
126580,13019
126580,8694
126580,4325
126605,1331
126605,1331
126614,37348
126614,30660
126614,6688
126669,3762
126669,3047
126669,715
126678,2598
126678,2433
126678,165
126687,854
126687,854
126702,3154
126702,3154
126711,10934
126711,10934
126748,2361
126748,2361
126775,6670
126775,3858
126775,2812
126784,166
126784,166
126818,35137
126818,25231
126818,9906
126827,4285
126827,3092
126827,1193
126854,212
126854,212
126863,10188
126863,10188
126872,725
126872,725
126915,2493
126915,2493
126924,194
126924,194
126942,17274
126942,17274
126951,1732
126951,1732
126979,1074
126979,1074
127024,1507
127024,1507
127060,13762
127060,5820
127060,7942
127158,4363
127158,4363
127185,4407
127185,4407
127200,28236
