UNITID,F1A13,F1A18,F1B25
157386,70767401,176025501,155336509
157401,73484256,220174891,178352154
157438,,,34312157
157447,130973000,318439000,252316000
157483,,,39738266
157553,,,33314716
157711,,,49995281
157739,,,30662027
157854,192548478,879228935,119488782
157951,171291378,377566333,331350361
158088,7890745,-380508,20063066
158352,6959117,-1099087,15392283
158431,16889237,-6920943,47409944
158662,57542264,32829350,145306433
158769,4025875,4948639,14779890
158884,5539978,17082623,14148383
159009,143612809,71397803,102627188
159373,145689897,286271283,464311387
159382,17387426,22361472,33246913
159391,850596870,699923859,1022179346
159407,16180447,16558267,27876182
159416,12163278,27891464,45561075
159443,13012554,6864105,34143057
159638,13562382,69202661,8241783
159647,139597618,193031594,189774205
159717,63999798,86417441,115823396
159939,131497339,143815201,215922737
159966,106891100,60792438,97682216
159993,130116971,90034937,140576675
160010,7425432,6410231,21097190
160038,45784824,77352372,115962838
160481,4154737,4830424,13443808
160533,3959040,-2238996,5803278
160579,7154753,8026601,19516245
160612,185865322,105264926,192989803
160621,125182544,104099498,153826276
160630,60900013,44693532,44668097
160649,28375047,4915873,32588745
160658,255792769,308822575,277080925
160667,5641203,-348438,17230806
160913,6118073,2653307,15225903
161077,7428517,17962390,20209314
161138,7715424,23251170,19437864
161192,3116177,14541705,19395293
161217,6820000,43645000,49723000
161226,17020000,55093000,47476000
161235,9268000,11181000,14721000
161244,6940000,10105000,13348000
161253,120835000,405673000,378816000
161280,84821000,79159000,39857000
161299,8052672,49436511,36153494
161341,4592000,26406000,22290000
161484,2620187,13049801,14304959
161545,16316253,34629829,40603375
161554,105250000,156112000,196395000
161581,664803,13197692,7358939
161688,4296524,37731173,38556374
161767,37592613,74185687,140474430
161864,12232823,89745747,81097630
161873,45561939,84060819,124811203
162007,30496375,151632740,122215085
162104,4462103,51426087,29932595
162122,16862976,92118851,75598797
162168,5851135,52406760,29087077
162283,43079555,236114615,81866735
162557,16770552,68312942,55275497
162584,37490526,82677568,101255978
162609,3139031,27242714,28228267
162690,9178470,79963445,60996247
162706,6513254,94091505,55179957
162779,27622816,164642150,99593084
163204,74232599,324123121,356317127
163259,304000333,793234425,1008687836
163268,145199892,228007039,374331223
163286,551559099,1636084220,1618989237
163338,64913211,137548998,104498153
163426,85466556,408237917,304266073
163453,102183105,320501755,219929872
163657,19051911,145954218,135114909
163851,107465034,263498594,156942934
163912,46623566,119188311,68020490
164076,216932350,498342681,379808353
164146,128183750,177257036,46105701
164155,,,443299678
164313,5894104,77716722,53544645
164535,,,861103
164775,4500788,11560240,26624279
165024,111584330,82934113,159354394
165033,8955829,31385872,62290690
165112,20129677,36147063,79684816
165194,6243996,18365642,32358826
165608,,,535423
165820,45437505,80129966,86225591
165866,49811011,67025324,74316014
165981,4518687,42709522,45533341
166133,13548676,39252096,65666315
166513,321831000,213469000,305470000
166629,936484000,883816000,939564000
166638,384595000,248634000,323505000
166647,7399845,11818581,42072128
166665,114493000,109475000,104451000
166674,20497765,32996906,59239872
166692,13889726,60512784,60368195
166708,576981686,443737588,976796748
166823,12017205,26936229,64710707
166887,18533396,35965882,69185261
166957,13614676,18346732,49102338
167288,8786675,28556082,43268051
167312,21559561,60617683,79621195
167376,7827869,24710941,56815162
167525,5684322,12407527,20421137
167534,12447270,32369949,60532393
167631,5277410,28628756,28772464
167729,32394574,87967028,148289557
167871,,,4194239
167905,17386987,37096908,75189919
167987,284350000,78678000,233051000
168263,23239158,61557585,95781079
168430,26053834,87162957,82586625
168607,5453270,15842791,19647560
168883,11287021,24370641,23133713
169248,249434679,634562259,477369258
169275,71338379,106656969,120462206
169521,7571084,148566952,103927571
169798,330997250,255766039,367606254
169910,166708156,295355325,269996737
169974,4496804,12194801,15193969
169992,5495443,10633493,12807683
170055,71475029,110628883,160669919
170082,350750853,589076218,417571931
170240,56664655,78140861,114408892
170444,45327794,62299103,73529435
170541,8391509,125098940,84076876
170550,15406759,61961191,57710679
170587,4783764,15969401,21809742
170620,11456006,54395920,44370530
170639,31990418,47958386,50024164
170657,72006499,137988429,151252301
170790,31340407,324748804,160237117
170976,4678454000,10560068000,6793500000
171100,1410857888,2724532091,2153808922
171128,107438000,200067000,220044000
171137,30337000,167714000,123955000
171146,23081000,196480000,119898000
171155,6073809,45797244,38433651
171225,3056247,39959981,33704191
171234,5056196,18943124,18638989
171304,24794023,29236888,41150990
171395,9691964,32688319,25251124
171456,123371229,225135831,164364672
171483,32239536,58197393,56843656
171535,28040861,371577772,206207108
171571,180528481,355495486,282704949
172051,159415697,216334269,143257019
172200,14024953,136853966,92834737
172291,6627091,53895713,40860601
172307,26784707,45965671,32493605
172422,,,14330619
172617,48438619,134267870,126259730
172635,22411519,251012244,183653615
172644,707846223,879055633,824315837
172671,2013006,37889378,20910552
172699,547637000,358385526,536945195
172918,12120000,25543000,27441000
172954,7224000,19945000,20631000
172963,24644000,51812000,59144000
173063,9016000,20290000,31882000
173115,3566000,7728000,11270000
173124,42484000,62568000,73200000
173203,13382000,32530000,37559000
173416,8575000,34561000,33633000
173461,16298000,40857000,46861000
173559,21882000,40962000,66623000
173638,9737000,18506000,33707000
173708,18088000,40895000,66955000
173735,8351000,20681000,19132000
173799,16262000,43108000,42825000
173805,7246000,8977000,15316000
173911,9654000,15971000,38782000
173920,149460000,200101000,202405000
173993,7048000,12169000,18339000
174020,27396000,56123000,73435000
174066,1673445733,2840848153,2974160939
174075,3399185,47197814,34739157
174136,39218000,98484000,79999000
174233,40436472,347676323,219480492
174251,5254991,80138495,57002919
174358,70444000,98732000,106601000
174376,18588000,55841000,53599000
174428,42264000,60561000,73428000
174473,12267000,33070000,35516000
174570,3303000,8554000,14989000
174604,1428000,3804000,4742000
174738,16130000,67451000,54327000
174756,16864000,47793000,43395000
174783,137919000,174542000,213254000
175041,29666000,49715000,51666000
175078,33357000,67248000,49757000
175157,2562000,7308000,10119000
175236,12137000,32878000,43679000
175263,7464000,15994000,23155000
175272,89826000,157979000,138181000
175315,30932000,56443000,81524000
